No,name, cid,MOLECULAR_FORMULA,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,,,,,,,,,,,,,,,,,
645,Chloro-methylstyrene,4268635,C9H9Cl,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
646,Benzylidene ruthenium dichloride,4414249,C7H6Cl2Ru,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
647,"2-Ethylcyclopenta-1,3-diene",4607244,C7H9-,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
648,Phenethylzinc bromide solution,5214896,C8H9BrZn,3,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
649,Benzylidene tungsten,5250745,C7H6W,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
650,Benzylidene ruthenium chloride,5255194,C7H6ClRu,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
651,Di-p-tolylstannane,5257838,C14H14Sn,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
652,Benzylstannane,6395654,C7H7Sn,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
653,"Methylene, diphenyl-",6432321,C13H10,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
654,[(Z)-hept-1-enyl]benzene,9898966,C13H18,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
655,"3-Methylbuta-1,3-dien-2-ylbenzene",10048024,C11H12,3,1,4,4,4,4,4,,,,,,,,,,,,,,,,,
656,1-(Deuteriomethyl)-4-methylbenzene,10057457,C8H10,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
657,"[(1E)-penta-1,3-dienyl]benzene",10057669,C11H12,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
658,1-Methyl-4-methyltellanylbenzene,10537619,C8H10Te,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
659,Dideuteroethylbenzene,10582766,C8H10,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
660,1-[(E)-but-2-enyl]-3-methylbenzene,10606886,C11H14,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
661,"2-Phenylcyclohepta-1,3-diene",10678754,C13H14,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
662,1-[(E)-but-2-enyl]-4-methylbenzene,10820688,C11H14,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
663,"[(1E,3E)-5,5-dimethyl-1,3-hexadienyl]benzene",10821420,C14H18,3,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
664,Magnesium bromide 2-phenylethan-1-ide (1/1/1),10867537,C8H9BrMg,2,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
665,CID 10894752,10894752,C21H34Sn,1,4,3,3,4,3,4,,,,,,,,,,,,,,,,,
666,CID 10898817,10898817,C11H10,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
667,[(E)-oct-6-enyl]benzene,10899412,C14H20,3,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
668,1-Lithio-1-phenylethene,10909521,C8H7Li,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
669,Iodozinc(1+);methanidylbenzene,10924067,C7H7IZn,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
670,3-Phenyl-2-propenyl,10930546,C9H9,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
671,[(Z)-pent-3-en-1-ynyl]benzene,10931541,C11H10,2,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
672,"[(1E)-4-methylhexa-1,5-dienyl]benzene",10942921,C13H16,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
673,"Benzene, [(methylseleno)methyl]-",10943155,C8H10Se,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
674,1-Phenylethylmagnesium bromide,10954798,C8H9BrMg,4,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
675,1-Iodopropylbenzene,10955836,C9H11I,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
676,Phenylethyllithium,10964442,C8H9Li,2,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
677,Cinnamyl iodide,11021111,C9H9I,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
678,1-[(E)-but-1-enyl]-4-methylbenzene,11029978,C11H14,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
679,Ethylcyclopentadienylsodium,11040671,C7H9Na,2,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
680,"Benzene, [(butylseleno)methyl]-",11042457,C11H16Se,4,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
681,Hept-6-en-1-ynylbenzene,11062846,C13H14,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
682,"Benzene, (4-methyl-1-methylene-2,3-pentadienyl)-",11062847,C13H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
683,[(1E)-1-ethyl-1-butenyl]benzene,11073722,C12H16,4,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
684,1-Phenylethyl magnesium chloride,11073766,C8H9ClMg,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
685,[(E)-4-methylpent-2-enyl]benzene,11094931,C12H16,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
686,"Magnesium, bromo(1-phenylethenyl)-",11095812,C8H7BrMg,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
687,"Magnesium, bromo(2-phenylethenyl)-",11095813,C8H7BrMg,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
688,CID 11109664,11109664,C7H7Ge,3,3,1,3,4,3,4,,,,,,,,,,,,,,,,,
689,[(E)-2-iodo-1-methylethenyl]benzene,11118259,C9H9I,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
690,"[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]benzene",11130243,C22H32,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
691,2-Iodobutylbenzene,11196235,C10H13I,2,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
692,1-Methyl-4-(2-methylprop-1-en-1-yl)benzene,11205839,C11H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
693,"Hexa-1,4-diynylbenzene",11252126,C12H10,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
694,CID 11309525,11309525,C10H10,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
695,1-Iodosyl-4-methylbenzene,11345325,C7H7IO,3,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
696,1-[(1E)-1-hexenyl]-4-methylbenzene,11367284,C13H18,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
697,[(2S)-pent-4-en-2-yl]benzene,11378569,C11H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
698,"Benzene, (5,5-dimethyl-1,3-hexadiynyl)-",11446718,C14H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
699,Di-tert-butyl(2-methylphenyl)phosphine,11510495,C15H25P,2,4,3,4,4,4,3,,,,,,,,,,,,,,,,,
700,Di-p-tolylbismuthine,11614414,C14H14Bi,3,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
701,"Benzene, (3-cyclopropylidenepropyl)-",11744896,C12H14,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
702,"(1E,3E)-1,3-nonadienylbenzene",11769530,C15H20,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
703,CID 11805007,11805007,C12H12,4,4,3,3,4,3,4,,,,,,,,,,,,,,,,,
704,Vinylisopropenylbenzol,11815920,C11H12,2,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
705,trimethyl-[(E)-3-phenylprop-2-enyl]stannane,11822041,C12H18Sn,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
706,1-Butyltellanylethenylbenzene,11822305,C12H16Te,2,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
707,o-n-Butyliodobenzene,11832141,C10H13I,3,2,2,3,4,4,4,,,,,,,,,,,,,,,,,
708,2-Benzylcyclopentadiene,12011456,C12H12,3,3,1,3,4,3,4,,,,,,,,,,,,,,,,,
709,"2,4,6-Trimethylbenzene-d",12015329,C9H12,3,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
710,(4-Methyl-3-methylidenepent-4-enyl)benzene,12025010,C13H16,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
711,"Phosphine, (4-methyl-1,2-phenylene)bis-",12031348,C7H10P2,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
712,Trichloro-(2-methylphenyl)stannane,12057718,C7H7Cl3Sn,2,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
713,Dimethyl(o-tolyl)phosphine,12061464,C9H13P,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
714,1-(3-Phenylpropyl)cyclopropene,12074420,C12H14,3,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
715,"[(1E)-3,4-dimethylpenta-1,3-dienyl]benzene",12099540,C13H16,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
716,Trimethyl(2-phenylethenyl)germane,12125506,C11H16Ge,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
717,"1-methyl-4-[(1E)-3-methylbuta-1,3-dienyl]benzene",12187472,C12H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
718,"(Z)-1,2-Diphenylethene-d1",12201997,C14H12,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
719,Deutero xylene,12205470,C8H10,2,4,2,4,4,4,2,,,,,,,,,,,,,,,,,
720,alpha-Deuteroethyl benzene,12205481,C8H10,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
721,"1,2-Dideuteroethylbenzene",12205482,C8H10,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
722,"Toluene, [3H]",12205500,C7H8,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
723,Tritiotoluene,12205503,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
724,"1,2,3,4-Tetradeuterio-5-(trideuteriomethyl)benzene",12205507,C7H8,2,0,3,4,4,4,2,,,,,,,,,,,,,,,,,
725,(3-Deuteriopropyl)benzene,12214802,C9H12,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
726,"(1-Isopropyl-propa-1,2-dienyl)-benzene",12223088,C12H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
727,6-Deuteriohexylbenzene,12253172,C12H18,2,2,0,4,4,3,4,,,,,,,,,,,,,,,,,
728,Dehydrotoluene,12307917,C7H6,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
729,4-Methylhexylbenzene,12321947,C13H20,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
730,"1-Phenylcyclohepta-1,3,5-triene",12341830,C13H12,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
731,p-Tolylmercury bromide,12382120,C7H7BrHg,2,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
732,(Oct-1-en-2-yl)benzene,12396457,C14H20,2,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
733,[(E)-oct-2-en-2-yl]benzene,12396458,C14H20,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
734,"1-(Cyclopenta-2,4-dien-1-ylidenemethyl)-4-methylbenzene",12426952,C13H12,4,3,2,4,4,3,4,,,,,,,,,,,,,,,,,
735,"[(1E)-4-methylpenta-1,4-dienyl]benzene",12441680,C12H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
736,[(2S)-2-methylpentyl]benzene,12453624,C12H18,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
737,Benzyl(dimethyl)phosphane,12463280,C9H13P,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
738,CID 12464134,12464134,C8H7,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
739,4-Methylbenzyne,12468687,C7H6,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
740,(Z)-hex-3-en-1-ylbenzene,12473551,C12H16,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
741,1-Phenylethyllithium,12484975,C8H9Li,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
742,1-Methyl-2-(2-methylprop-1-enyl)benzene,12491585,C11H14,2,3,2,4,4,3,4,,,,,,,,,,,,,,,,,
743,[(Z)-pent-2-enyl]benzene,12525546,C11H14,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
744,Benzyl(trichloro)germane,12539415,C7H7Cl3Ge,2,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
745,"Cyclopenta-1,4-dien-1-ylbenzene",12542314,C11H10,3,4,4,4,4,3,3,,,,,,,,,,,,,,,,,
746,CID 12543559,12543559,C9H9,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
747,(Z)-(3-methylpent-3-en-1-yl)benzene,12544105,C12H16,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
748,"3,4-Dimethylpent-3-enylbenzene",12544106,C13H18,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
749,[(E)-2-chloroprop-1-enyl]benzene,12601479,C9H9Cl,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
750,[(2S)-2-methylhexyl]benzene,12609598,C13H20,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
751,m-Tolylboron,12610844,C7H7B,3,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
752,o-Tolylboron,12610845,C7H7B,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
753,(2-Methylcyclopenten-1-yl)benzene,12611389,C12H14,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
754,"2-Methyl-2,3-dihydro-1,1'-biphenyl",12628360,C13H14,4,2,1,4,3,4,4,,,,,,,,,,,,,,,,,
755,CID 12629715,12629715,C9H9,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
756,"1-(1,2-Butadienyl)-4-methylbenzene",12632748,C11H12,1,4,3,4,4,3,4,,,,,,,,,,,,,,,,,
757,4-Methylbenzene-1-selenenyl chloride,12662118,C7H7ClSe,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
758,"[(1E)-2,3-dimethylbuta-1,3-dienyl]benzene",12676438,C12H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
759,"[(1E,3Z)-hexa-1,3-dienyl]benzene",12686270,C12H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
760,2-Butylhex-1-enylbenzene,12697197,C16H24,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
761,[(Z)-pent-3-en-2-yl]benzene,12697650,C11H14,4,2,1,4,4,4,3,,,,,,,,,,,,,,,,,
762,"[(E,2R)-pent-3-en-2-yl]benzene",12697651,C11H14,4,2,1,4,4,4,3,,,,,,,,,,,,,,,,,
763,[(1Z)-1-methyl-1-hexenyl]benzene,12705333,C13H18,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
764,"(2,3-Dimethyl-2-butenyl)benzene",12714365,C12H16,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
765,Benzylcopper,12727755,C7H7Cu,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
766,"1-Buta-1,3-dien-2-yl-4-methylbenzene",12738503,C11H12,3,1,2,4,4,4,4,,,,,,,,,,,,,,,,,
767,CID 12786826,12786826,C9H11,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
768,Benzylmanganese,12826835,C7H7Mn-,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
769,1-[(E)-but-2-en-2-yl]-2-methylbenzene,12835573,C11H14,2,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
770,1-[(Z)-but-2-en-2-yl]-2-methylbenzene,12835574,C11H14,2,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
771,Phenyl butyllithium,12860979,C10H13Li,4,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
772,(4-Methylpent-1-ynyl)benzene,12861410,C12H14,3,3,4,3,4,3,4,,,,,,,,,,,,,,,,,
773,Benzyldimethylgermane,12938736,C9H13Ge,3,4,2,3,4,4,4,,,,,,,,,,,,,,,,,
774,3-Methylidenepent-1-ynylbenzene,12939488,C12H12,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
775,Divinylstyrene,12964308,C12H12,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
776,m-Xylyllithium,12985051,C8H9Li,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
777,Benzylborane,13016078,C7H7B,2,4,0,3,4,4,4,,,,,,,,,,,,,,,,,
778,"(4-Methylcyclohexa-1,3-dien-1-yl)benzene",13026762,C13H14,3,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
779,"[(1E,4Z)-hexa-1,4-dienyl]benzene",13068860,C12H14,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
780,Ditolyl-ditelluride,13068973,C14H14Te2,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
781,"1,4-Dimethylcyclohexa-1,3-dien-5-yne",13083800,C8H8,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
782,"1-(Buta-2,3-dien-2-yl)-4-methylbenzene",13129790,C11H12,3,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
783,Tellurochromene,13198200,C9H8Te,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
784,"1-[(1Z)-buta-1,3-dienyl]-4-methylbenzene",13240694,C11H12,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
785,1-(But-3-en-1-yl)-4-methylbenzene,13240698,C11H14,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
786,CID 13267182,13267182,C7H7Bi,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
787,Seleno-benzaldehyd,13329945,C7H6Se,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
788,"[(1E)-5-methyl-1,5-hexadienyl]benzene",13349604,C13H16,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
789,"1,1-Bis(methylselanyl)ethylbenzene",13352556,C10H14Se2,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
790,Magnesium bromide 1-phenylpropan-2-ide (1/1/1),13395207,C9H11BrMg,4,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
791,Benzylethylmethylphosphin,13397945,C10H15P,2,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
792,[(E)-5-methylhex-3-enyl]benzene,13403767,C13H18,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
793,2-Methylideneoctylbenzene,13412002,C15H22,3,2,4,4,4,4,4,,,,,,,,,,,,,,,,,
794,4-Methylbenzene-1-selenenyl bromide,13459438,C7H7BrSe,3,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
795,4-Methyl-2-phenyl-2-pentene,13485744,C12H16,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
796,Benzyltellane,13549131,C7H7Te,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
797,1-Iodo-2-propylbenzene,13594503,C9H11I,3,2,2,3,4,4,4,,,,,,,,,,,,,,,,,
798,"1-methyl-4-[(1E,3E)-1,3-pentadienyl]benzene",13621080,C12H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
799,e-Styrylmagnesium chloride,13626671,C8H7ClMg,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
800,Dichloro-(4-methylphenyl)bismuthane,13641591,C7H7BiCl2,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
801,"6-Methylhepta-1,5-dien-2-ylbenzene",13677920,C14H18,2,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
802,Non-1-en-2-ylbenzene,13677922,C15H22,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
803,CID 13690718,13690718,C8H7+,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
804,[(E)-hept-3-en-1-ynyl]benzene,13696447,C13H14,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
805,(3-Methylidenepentyl)benzene,13699847,C12H16,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
806,[(E)-undec-1-enyl]benzene,13780365,C17H26,4,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
807,2-Phenyldodecene,13901348,C18H28,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
808,Cesium;methanidylbenzene,13951511,C7H7Cs,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
809,1-ethenyl-4-[(E)-pent-1-enyl]benzene,14045862,C13H16,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
810,Cumylcesium,14046091,C9H11Cs,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
811,[(Z)-oct-3-enyl]benzene,14120369,C14H20,3,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
812,"1-Phenylhexadi-ene-2,5",14170025,C12H14,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
813,1-Iodo-2-(3-methylbut-3-enyl)benzene,14290999,C11H13I,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
814,CID 14300519,14300519,C7H7Bi,3,1,1,4,4,3,4,,,,,,,,,,,,,,,,,
815,p-Xylyllithium,14510273,C8H9Li,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
816,Potassium;1-methanidyl-4-methylbenzene,14510282,C8H9K,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
817,CID 14667380,14667380,C10H11,3,3,4,4,4,4,4,,,,,,,,,,,,,,,,,
818,Biphenylylsodium,14767622,C12H9Na,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
819,((1E)-1-Methyl-1-penten-1-yl)benzene,14883397,C12H16,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
820,"2-Phenylcyclohepta-1,3,5-triene",14897393,C13H12,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
821,"[(E)-2,3,3-trimethylbut-1-enyl]benzene",14906849,C13H18,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
822,(E)-(4-Methylhex-1-en-1-yl)benzene,15153637,C13H18,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
823,Pent-3-ynylbenzene,15197726,C11H12,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
824,m-Tolyl-stannan,15242382,C7H7Sn,3,0,0,3,4,3,4,,,,,,,,,,,,,,,,,
825,Astatotoluene,15242625,C7H7At,2,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
826,1-[(E)-hex-1-enyl]-3-methylbenzene,15312139,C13H18,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
827,"3-Methylpenta-1,3-dienylbenzene",15366891,C12H14,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
828,3-Methylpent-1-ynylbenzene,15618333,C12H14,3,3,4,3,4,3,4,,,,,,,,,,,,,,,,,
829,1-[Bis(methylselanyl)methyl]-4-methylbenzene,15635517,C10H14Se2,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
830,1-Ethenyl-2-propylbenzene,15695096,C11H14,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
831,"1,2-Diiodo-3-methylbenzene",15716690,C7H6I2,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
832,Rubidium phenylmethanide,15811058,C7H7Rb,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
833,"[(2E)-5-methylhexa-2,5-dien-2-yl]benzene",15849017,C13H16,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
834,"Tungsten, tricarbonyl(toluene)-",16057662,C10H8O3W,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
835,1-Methyl-2-propadienylbenzene,16202434,C10H10,3,1,2,4,4,4,4,,,,,,,,,,,,,,,,,
836,"Buta-1,3-diene;ethene;styrene",16211446,C14H18,3,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
837,1-Deuterioprop-1-en-2-ylbenzene,16688223,C9H10,2,0,0,3,2,3,4,,,,,,,,,,,,,,,,,
838,Benzylalumane,16700841,C7H7Al,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
839,"(3-Methylcyclopenta-1,4-dien-1-yl)benzene",17775381,C12H12,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
840,"[(E)-4,4-dimethylhex-1-enyl]benzene",17827898,C14H20,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
841,Toluene-n-decane,18000008,C17H30,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
842,Benzylcyclobutene,18188466,C11H12,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
843,(3-Methylphenyl)phosphane,18349905,C7H9P,3,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
844,1-(But-3-en-1-yl)-3-methylbenzene,18368537,C11H14,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
845,1-(But-3-en-1-yl)-2-methylbenzene,18368542,C11H14,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
846,1-Iodo-3-propylbenzene,18417646,C9H11I,4,2,2,4,4,4,3,,,,,,,,,,,,,,,,,
847,"2,6-Diisocyanatotoluene",7040,C9H6N2O2,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
848,"2,4-Diisocyanato-1-methylbenzene",11443,C9H6N2O2,2,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
849,4-Tolyl isocyanate,69325,C8H7NO,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
850,2-Tolyl isocyanate,69194,C8H7NO,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
851,4-Methyl-3-nitrophenyl isocyanate,73137,C8H6N2O3,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
852,"2,4-Tolylene diisothiocyanate",21008,C9H6N2S2,2,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
853,2-Methyl-5-nitrophenyl isocyanate,292609,C8H6N2O3,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
854,"Toluene-2,4,6-triyl triisocyanate",81845,C10H5N3O3,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
855,"1-Chloromethyl-2,4-diisocyanatobenzene",2733320,C9H5ClN2O2,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
856,1-Isocyanato-4-(isocyanatomethyl)benzene,4200739,C9H6N2O2,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
857,"Isocyanic acid, 4-(p-isocyanatobenzyl)-m-phenylene ester",40186,C16H9N3O3,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
858,"2,4,6-Trimethyl-1,3-phenylene diisocyanate",2733394,C11H10N2O2,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
859,"1,3-Diethyl-2,4-diisocyanato-5-methylbenzene",22706937,C13H14N2O2,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
860,Diisocyanatotoluene; Methylphenylene ester Isocyanic Acid; Methyl-m-phenylene isocyanate; Methylphenylene isocyanate; Toluene Diisocyanate,33518,C18H12N4O4,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
861,"1,6-Diisocyanatohexane;2,4-diisocyanato-1-methylbenzene",168535,C17H18N4O4,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
862,"1,6-Diisocyanatohexane;1,3-diisocyanato-2-methylbenzene",173916,C17H18N4O4,3,4,2,3,4,3,4,,,,,,,,,,,,,,,,,
863,Toluene-4-isocyanate-2-amine,175843,C8H8N2O,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
864,3-Isocyanato-2-methylaniline,185506,C8H8N2O,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
